Family_name;sp_name;latitude;elevation;annual_mean_temp;annual_prec;Trunk_circumference;age_rank;unique_name;religion;sp_num;Family_num
Aquifoliaceae;Ilex_rotunda;34.4180187;72.54216003;14.9;1690.5;350;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.3989229;34.46498871;15.5;1757.4;337;2;1;1;38;28
Aquifoliaceae;Ilex_rotunda;34.5645097;22.59065056;16.2;1181.8;305;2;0;0;38;28
Aquifoliaceae;Ilex_rotunda;32.476487;36.25617981;16;2343.3;360;2;0;1;38;28
Aquifoliaceae;Ilex_rotunda;34.1268361;18.1889782;15.8;1121;305;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;33.8519936;125.0271759;15.4;3133.3;380;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.0872584;13.21935844;15.9;1794.3;340;4;0;0;38;28
Aquifoliaceae;Ilex_integra;35.5491889;13.36961555;14.5;2022;320;2;1;0;64;28
Aquifoliaceae;Ilex_rotunda;35.0112935;17.78591919;15.3;1583.7;450;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.0709274;30.64943886;15.3;1653.2;325;3;1;1;38;28
Aquifoliaceae;Ilex_latifolia;34.8634781;306.5166016;12.7;1259.7;300;4;1;0;150;28
Aquifoliaceae;Ilex_integra;35.546656;84.15962982;15;1719.3;521;4;0;0;64;28
Aquifoliaceae;Ilex_rotunda;34.2027806;53.16201401;15.7;2212.5;310;3;1;1;38;28
Aquifoliaceae;Ilex_pedunculosa;35.0755545;144.4548187;13.4;1493.1;595;4;0;0;152;28
Aquifoliaceae;Ilex_rotunda;34.7352574;13.48054218;15.7;1636.3;300;2;0;0;38;28
Aquifoliaceae;Ilex_rotunda;32.9913865;12.79595089;16.2;2603.8;310;3;1;0;38;28
Aquifoliaceae;Ilex_latifolia;35.32267;79.01356506;14.1;1753.5;488;2;0;0;150;28
Aquifoliaceae;Ilex_rotunda;32.6954809;10.65582085;17;2281.4;465;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.9586216;19.86941147;15.6;1361.5;305;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.8356302;32.27058792;15;1124.1;300;4;0;1;38;28
Aquifoliaceae;Ilex_rotunda;31.2737587;15.08974838;18.2;2175.5;318;2;0;0;38;28
Araliaceae;Kalopanax_septemlobus;35.4591732;51.8057251;14.1;2142.1;410;2;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.2130221;152.8706512;9.3;1036.3;506;4;0;0;32;23
Araliaceae;Kalopanax_septemlobus;40.52640039;473.3422852;7.6;1708.2;320;3;0;0;32;23
Araliaceae;Kalopanax_septemlobus;39.1643877;117.9347992;10.6;1512.5;520;4;0;0;32;23
Araliaceae;Kalopanax_septemlobus;42.5850188;42.94287109;6.5;1136.6;410;3;0;0;32;23
