"","basin","site","reg_rich","loc_rich","abund","HII","width","depth","temp","temp_season","precip","precip_season","Isothermality","AET","evi","region"
"34","inambari","inambari_14",19,3,5,-0.159105954508429,-0.411641490746946,-0.826645952008585,-0.102232707951904,1.1799874903821,-2.31890572942789,1.10019142555402,1.2122068677013,-1.19914907841264,-1.8866047206974,"west"
"35","inambari","inambari_15",19,3,16,-0.159105954508429,-0.249757608878892,-0.218273348901181,-0.102232707951904,1.1799874903821,-2.31890572942789,1.10019142555402,1.2122068677013,-1.19914907841264,-1.8866047206974,"west"
"36","inambari","inambari_6",21,2,3,-0.802580164269526,-0.330699549812919,-0.0521946210414012,-0.225513326364498,0.948437447399551,-0.899627548215818,0.351069387276432,1.2122068677013,-0.0689166137018751,-0.688816743262145,"west"
"37","inambari","inambari_16",16,7,34,-1.12431727576867,-0.329080710994239,3.57822809557008,-0.102232707951904,1.38259377799183,-2.3409100423149,1.10019142555402,1.32632967269729,-1.27068277871079,0.635904449508252,"west"
"38","inambari","inambari_5",21,2,6,-1.53797926870346,0.314137912961498,4.01236371868479,-0.225513326364498,0.745831159789822,-0.877623235328809,0.351069387276432,1.2122068677013,-0.0546098736422452,-0.218009908200889,"west"
"39","inambari","inambari_7",21,6,51,-1.53797926870346,0.127971448813235,-0.309179599940218,-0.225513326364498,0.818190548221868,-0.916130782881075,0.458086821316088,1.2122068677013,-0.126143573940395,-0.633427703843174,"west"
"40","inambari","inambari_18",16,6,42,-1.70869691132846,0.0459920377889635,4.46344020418304,-0.102232707951904,1.32470626724619,-2.39041974631067,1.20720885959368,1.2122068677013,-1.31360299888968,-0.432642435949403,"west"
"41","inambari","inambari_3",21,7,36,-2.35917492826152,-0.412653265008622,-0.096482282969474,-0.225513326364498,1.1799874903821,-0.90512862643757,0.458086821316088,1.2122068677013,-0.111836833880765,-0.700356126474431,"west"
"42","tapajos","tapajos_35",15,4,12,1.12784246501377,-0.309053712572157,-0.590798267335737,-1.21175827366523,1.3391781449326,-0.360521882484102,1.31422629363333,-0.499635207238537,-1.75711194073821,1.50828182035705,"east"
"44","tapajos","tapajos_5",13,2,12,0.852067807469635,-0.3680432180411,-0.826645952008585,-1.21175827366523,0.876078058967505,-0.360521882484102,1.42124372767299,-0.385512402242548,-1.68557824044006,-1.6442776732394,"east"
"45","tapajos","tapajos_48",7,7,24,0.594678115622886,-0.128099418844432,-0.0517178387330671,-0.47207456318968,0.731359282103413,-0.7290941233415,0.886156557474711,0.185101622737397,-1.29929625883005,1.00285683565894,"east"
"46","tapajos","tapajos_6",14,6,19,0.484368255252669,-0.264719604033506,-0.148345463486537,-1.33503889207782,1.20893124575492,-0.366022960705854,1.31422629363333,-0.385512402242548,-1.68557824044006,-0.46726058558626,"east"
"47","tapajos","tapajos_19",15,6,42,0.263748521275054,-0.0896519969007694,1.80582108014601,-0.965197036840044,0.0222372754693609,-0.575063933132438,1.10019142555402,0.0709788177414081,-1.38513669918783,-0.875754751301173,"east"
"48","tapajos","tapajos_8",9,7,17,-0.0120261362690789,-0.283728696234822,-0.447763955942475,-0.965197036840044,1.07868434657723,-0.278005709157819,1.10019142555402,0.185101622737397,-1.17053559829338,0.375114388910595,"east"
"49","tapajos","tapajos_18",15,11,53,-0.067181073072779,0.000794490133915703,-0.723979103330319,-1.08847765525264,1.09315622426364,-0.476044525140898,0.993173991514367,0.185101622737397,-1.24206929859153,-0.109539706005404,"east"
"50","tapajos","tapajos_25",14,9,69,-0.159105954508429,-0.203093353525117,-0.483999313476829,-1.08847765525264,1.00632495814519,-0.949137252211588,0.779139123435055,0.185101622737397,-1.45667039948598,-1.21962837102729,"east"
"51","tapajos","tapajos_26",12,9,40,-0.159105954508429,-0.206772532689142,-0.0536249644700094,-0.718635800014862,0.658999893671367,-1.15817822463817,0.779139123435055,0.185101622737397,-1.49959061966487,-0.400332162955003,"east"
"52","tapajos","tapajos_9",9,8,26,-0.159105954508429,-0.280049517070797,-0.122917142471138,-0.718635800014862,0.687943649044186,-0.25600139627081,1.20720885959368,0.0709788177414081,-1.18484233835301,-0.704971879759345,"east"
